"phone","total_revenue"
"489783829737","127.66"
"764477681869","126.74"
"90336226227","126.73"
"206841104594","126.73"
"145720452260","126.73"
"371490777743","126.72"
"886636413768","126.70"
"157133457169","125.74"
"684529463244","125.74"
"816436065431","125.72"
"597815221267","125.68"
"764680915323","125.67"
"675292816413","124.74"
"846225459260","124.71"
"768481779568","124.68"
"509492324775","124.66"
"51917807050","123.74"
"838635286649","123.74"
"131370665218","123.72"
"333390595558","123.71"
"665356572025","123.70"
"171822533480","123.70"
"525255540978","123.66"
"959834530529","122.74"
"132986892228","122.74"
"8912935608","122.72"
"819416131190","122.71"
"569868543137","122.70"
"932992626595","122.69"
"441628280920","121.77"
"843801144113","121.73"
"959467760895","121.73"
"524567129902","121.70"
"689681677428","121.70"
"302526949177","121.69"
"171973024401","120.75"
"129673677866","120.74"
"866092335135","120.74"
"465897838272","120.71"
"937222955822","120.70"
"800024380485","119.76"
"464511145118","119.75"
"589377568313","119.74"
"403404780639","119.72"
"181179321332","119.72"
"821972242086","118.76"
"154124128457","118.75"
"42384721397","118.75"
"863080561151","118.73"
"440512153169","118.70"
"973047364353","118.70"
"479007229460","118.69"
"341242939532","117.77"
"285710089439","117.77"
"914466027044","117.76"
"270456873752","117.75"
"111177206479","117.75"
"844018348565","117.72"
"876295323994","116.76"
"885899703621","116.75"
"134673576619","116.74"
"959949395183","116.73"
"322888976727","116.73"
"565018274456","116.72"
"650496654258","116.71"
"879347453467","115.74"
"347487831378","115.74"
"80593242951","115.72"
"737229003916","115.71"
"170117068815","115.70"
"117592274996","114.76"
"920811325222","114.74"
"170115379190","114.73"
"282874611748","114.73"
"330838016880","114.72"
"426255288071","114.72"
"28303384290","114.70"
"342709348083","113.77"
"806016930576","113.75"
"108053751300","113.74"
"621625204422","113.74"
"128499386727","113.73"
"33173584456","113.73"
"15273765306","113.72"
"704948322302","113.71"
"276555730211","113.70"
"932156667696","112.76"
"995527378381","112.76"
"491001136577","112.75"
"627705991774","112.74"
"252265130067","112.73"
"702955450528","112.72"
"974433019532","111.77"
"460795526514","111.76"
"647899404952","111.76"
"29341849811","111.74"
"358178933857","111.73"
"954786054144","111.73"
"493008546874","111.73"
"471675840679","111.71"
"760171523969","111.71"
"437829801725","111.71"
"427274926505","110.77"
"962020153680","110.76"
"46871694740","110.76"
"602101369463","110.74"
"499408708580","110.73"
"584316724815","110.73"
"991562402283","110.72"
"855066328617","110.72"
"935952366111","110.71"
"279979529227","110.68"
"745267607502","109.77"
"264541743403","109.77"
"14465669789","109.76"
"706878974831","109.75"
"96846695220","109.73"
"782900030287","109.73"
"488600270038","109.73"
"510383179153","109.72"
"39463554936","109.72"
"619966287415","109.72"
"736517327853","109.71"
"195003555232","108.78"
"640843562301","108.77"
"363982224739","108.76"
"864392582257","108.76"
"158326114853","108.75"
"834626715837","108.75"
"315528269898","108.73"
"63937119031","108.72"
"182363341674","108.71"
"96604821070","107.79"
"770864062795","107.78"
"419009857119","107.77"
"949312333307","107.76"
"38988715447","107.74"
"338758048786","107.73"
"406784385440","107.73"
"918032330119","107.73"
"368899174225","107.71"
"840522972766","107.70"
"491271355190","107.70"
"345679835036","107.66"
"553452430707","106.79"
"895616862749","106.77"
"137773001988","106.77"
"904253967161","106.76"
"630424482919","106.75"
"386759646229","106.74"
"248446668735","106.74"
"149981248346","106.73"
"924663855568","106.73"
"902731229323","106.73"
"680428310138","106.72"
"468060467018","106.68"
"17305839123","105.78"
"237426099212","105.78"
"105470691550","105.78"
"940830176580","105.77"
"967274728547","105.77"
"775235029633","105.76"
"212869228936","105.76"
"679095087143","105.74"
"680768868518","105.74"
"6171054059","105.73"
"237368926031","105.72"
"678220867005","105.70"
"20064292617","104.79"
"854259976812","104.78"
"172262454487","104.76"
"275788967899","104.75"
"665993880048","104.75"
"328494873422","104.74"
"745994947458","104.74"
"196495945706","104.73"
"604177838256","104.72"
"240776414296","104.71"
"718917251754","103.78"
"429925609431","103.77"
"85059738746","103.77"
"890289150158","103.74"
"369050085652","103.74"
"785881412500","103.74"
"144453869132","103.73"
"359478883004","103.73"
"350970907017","102.78"
"711928348157","102.77"
"698182547686","102.77"
"387448063440","102.76"
"412903167998","102.76"
"582835362905","102.75"
"352469351088","102.75"
"177727722820","101.79"
"268053970382","101.78"
"942570536750","101.77"
"137809746111","101.76"
"662227486184","101.72"
"779461480495","101.70"
"936806643983","100.77"
"867287719310","100.76"
"627425618482","100.76"
"567359279425","100.75"
"991802825778","100.75"
"90921003005","100.72"
"132100972047","99.78"
"635297277345","99.77"
"510737228015","99.74"
"889318963672","99.74"
"997453607116","99.73"
"759586584889","99.72"
"985109775584","99.71"
"934352415130","99.68"
"272572357893","98.82"
"965273813662","98.77"
"230250973122","98.76"
"484500282381","98.76"
"548003849552","98.75"
"600264533987","98.75"
"303967439816","98.75"
"165164761435","98.74"
"166898395731","97.80"
"409983924481","97.80"
"366776723320","97.79"
"653436985797","97.78"
"946114054231","97.78"
"956188728558","97.78"
"726875628268","97.78"
"677976133614","97.77"
"294449058179","97.75"
"884536620568","97.75"
"357445645426","96.79"
"924815207181","96.79"
"685010736240","96.79"
"800716535041","96.78"
"256546485220","96.78"
"517338314235","96.77"
"680851640676","96.77"
"558236142492","96.76"
"411549550611","96.76"
"46568045367","96.76"
"793996678771","96.75"
"368284120423","96.75"
"241832790687","96.74"
"62127829280","95.80"
"547003310357","95.79"
"377633994405","95.79"
"168884817145","95.78"
"488425406814","95.78"
"921960450089","95.78"
"104150372603","95.78"
"470884141195","95.76"
"670370974122","95.76"
"624138001031","95.76"
"707169393853","95.72"
"161968374323","94.81"
"990214419142","94.78"
"632316273199","94.78"
"75975221996","94.77"
"719202533520","94.76"
"648856936185","94.76"
"177167004331","94.76"
"272234298332","94.75"
"908029859266","93.83"
"105882218332","93.80"
"617567598243","93.80"
"876491807547","93.79"
"674805712553","93.79"
"963887147572","93.78"
"869507847714","93.78"
"776031833752","93.76"
"22326410776","93.75"
"106439158941","93.75"
"342720754566","93.74"
"465887807014","93.74"
"69493378813","92.81"
"573441801529","92.80"
"169352919175","92.80"
"634445428822","92.79"
"223664661973","92.79"
"82619513349","92.78"
"59634255214","92.78"
"448876499197","92.76"
"650752094490","92.75"
"131912793873","92.75"
"874337098891","92.75"
"37247325001","91.81"
"82671830126","91.81"
"168758068397","91.80"
"912257250465","91.79"
"214976066017","91.78"
"146640639760","91.78"
"47808359842","91.77"
"203804046132","91.75"
"869051782691","91.75"
"333489324603","91.70"
"265153400632","90.78"
"873492228462","90.78"
"333339908719","90.77"
"357593328658","90.77"
"481183273622","90.75"
"325526730021","90.73"
"955349440539","89.80"
"151249681135","89.78"
"119501405123","89.78"
"427454485876","89.78"
"539758313890","89.78"
"889538496300","89.77"
"107137400143","89.77"
"610173756082","89.77"
"402630109080","89.77"
"431770603551","89.77"
"164414772677","89.76"
"708403338270","89.76"
"845378657301","89.71"
"56257502250","88.81"
"266798132374","88.81"
"911872220378","88.80"
"409315295763","88.80"
"855290087237","88.78"
"250767749542","88.78"
"541327526474","88.77"
"697760867968","88.76"
"321944036800","88.75"
"255800440636","88.73"
"407752414682","87.82"
"652218196731","87.81"
"262088367001","87.80"
"135407755975","87.80"
"638409958875","87.80"
"856872225376","87.80"
"684192903087","87.79"
"247646995453","87.79"
"935448624185","87.78"
"644021380889","87.77"
"840957664136","87.77"
"442673923363","86.82"
"419419591240","86.81"
"667648979883","86.81"
"52709222667","86.81"
"918119601885","86.81"
"161801569569","86.80"
"947233365992","86.80"
"778502731092","86.79"
"196568435814","86.77"
"588964509072","86.77"
"987306329957","86.76"
"239357986667","86.75"
"594319417514","86.75"
"49677664184","86.75"
"867546627903","86.73"
"324346485054","85.80"
"331888642162","85.80"
"296394569728","85.78"
"486395999608","85.78"
"205524798287","85.78"
"657282285970","85.77"
"934730187245","85.77"
"918711376618","85.77"
"834061016202","85.75"
"784907335610","84.84"
"499352017190","84.81"
"426346224043","84.81"
"978987363654","84.80"
"754579047924","84.80"
"710603868323","84.79"
"860452626434","84.75"
"9099941466","83.82"
"435118527255","83.81"
"923261616249","83.80"
"82088937724","83.79"
"145308717464","83.78"
"870635127812","83.77"
"211256301880","82.81"
"203202500108","82.78"
"144206758053","82.76"
"975185523021","81.83"
"35533115997","81.83"
"983259819766","81.81"
"972574862516","81.81"
"48265851133","81.81"
"935508855935","81.80"
"824396883951","81.80"
"705814003527","81.78"
"122981120653","81.78"
"338244023543","81.76"
"352679173732","81.76"
"189446090264","81.75"
"688485191923","80.85"
"474047727727","80.83"
"905903574913","80.82"
"139378397418","80.81"
"302590383819","80.80"
"892523334","80.78"
"648482415405","80.78"
"738968474939","80.77"
"25865528181","80.77"
"622255216127","79.81"
"504434452842","79.81"
"62781725285","79.80"
"951486492670","79.80"
"900235712074","79.78"
"667736124769","79.75"
"572068624538","78.84"
"288241215394","78.82"
"747791594069","78.81"
"380657522649","78.80"
"231383037471","78.80"
"161643343536","78.79"
"914090181665","78.79"
"669828224459","78.78"
"746251338300","78.77"
"99760893676","77.84"
"23712411567","77.81"
"516647474029","77.81"
"537374465982","77.80"
"550306965159","77.79"
"449216226468","77.78"
"686015532180","77.77"
"741070712873","76.82"
"275595571388","76.80"
"909029256431","76.80"
"963063788669","76.78"
"407733804223","75.83"
"701767622697","75.81"
"620719383725","75.80"
"380077794770","75.79"
"947468818183","75.78"
"717566026669","75.78"
"104491201771","74.84"
"129953030512","74.83"
"368738360376","74.83"
"834418779292","74.81"
"546793516940","74.80"
"896314772871","74.79"
"581174211853","74.77"
"841876514789","73.85"
"976798660411","73.83"
"280578750435","73.82"
"18581624103","73.81"
"307133768620","73.81"
"761379480249","73.81"
"786270036240","73.80"
"80303246192","73.78"
"199514580428","73.78"
"598912394463","73.76"
"4764773857","72.83"
"829116184079","72.82"
"590764256785","72.82"
"720998247660","72.79"
"96110042435","71.85"
"516331171356","71.84"
"835433605312","71.81"
"497288595103","71.80"
"880756161823","71.79"
"953689007081","71.77"
"987442542471","70.82"
"71857599858","70.82"
"960505250340","70.81"
"407218522294","70.81"
"577812616052","69.83"
"561729882725","69.79"
"288910576761","69.79"
"103602195112","68.87"
"49084281333","68.84"
"182059202712","68.82"
"142596392389","68.81"
"790651020929","68.77"
"928809465153","67.86"
"705800322606","67.86"
"508800331065","67.86"
"886649065861","67.82"
"812824036424","66.82"
"335052544020","66.81"
"618156722572","66.79"
"170739645687","65.87"
"754358349853","65.83"
"38158430589","65.83"
"480039662421","65.81"
"697151428760","64.85"
"64536069371","64.84"
"961370847344","64.82"
"50898428626","63.84"
"613124286867","63.84"
"689199636560","63.79"
"107092893983","63.78"
"158399646978","62.85"
"84794532510","62.84"
"794553031307","61.82"
"165450987037","60.82"
"146497509724","59.86"
"168476538960","59.83"
"931059836497","58.83"
"817248913162","58.82"
"246810237916","58.80"
"1395251317","57.87"
"614935229095","57.86"
"765957414528","57.81"
"271149517630","56.84"
"716256596301","54.85"
"957128697225","52.81"
"182178609211","50.83"
"379804592943","49.88"
"478229987054","47.85"
"435785045362","37.87"
"583021225407","32.90"
"556100547674","27.93"
